_id|_uuid|DESCRIPTION|EMAIL|FACEBOOK_URL|JOBS|LAST_CALL_DATE|LAST_MAIL_DATE|LINKEDIN_URL|LOCATION|NAME|PHONE|SALE|SECTOR|STATUS|WEBSITE_URL|_source_method|_source_url|_user_access|RECRUITERS|LEADERS
655bdfa8e8fa052e13813afa|972b572c-f1a1-4d37-8af6-d3e59dfa106f||alter.recrut@gmail.com||||||4 allée des Sycomores, 92410 Ville d'Avray|Alter Recrut|0665774180||Cabinet de recrutement|partner||||zaptom.pro@gmail.com|64f903fbbd602b8bd6d2ea71,65d21e55b7714f43407421af|
655bdfa8e8fa052e13813af1|711fc986-2d63-4276-99eb-3e946c2d1952||contact@marlie-boutique.fr|||||42 Av. Jean Baptiste Clement, 92100 Boulogne-Billancourt|Marlie boutique|0986275194|Magasin de vêtements pour femmes|||||||zaptom.pro@gmail.com||
655bdfa8e8fa052e13813afd|bdc99c52-2ce4-4f01-b782-492ac5cdb9df||contact@cm-issy.fr||||||129 Av. de Verdun, 92130 Issy-les-Moulineaux|FS Boutique|0141238000||Magasin de vêtements|||||zaptom.pro@gmail.com||
655bdfa8e8fa052e13813af6|66f08255-e053-4818-9199-e0a61a2457c8|||||||5 Rue Mollien, 92100 Boulogne-Billancourt|Boutique Bonnie And Clyde Boulogne|0141109144|Magasin de vêtements pour femmes|||||||zaptom.pro@gmail.com||
655bdfa8e8fa052e13813af2|e752bfdd-8dd0-4845-bdc9-329cc7ee5961|||||||18 Av. de l'Europe, 92310 Sèvres|Bajoul et Cie|0149661120|Boutique d'articles de mode|||||||zaptom.pro@gmail.com||
655bdfa8e8fa052e13813b08|6a82801d-56e0-4b89-a246-5051ba84958f||||||||94 Rue de Longchamp, 75116 Paris|Auto-Ecole GP CONDUITE|0173707673||Auto-école||||||zaptom.pro@gmail.com|
655bdfa8e8fa052e13813afb|c65278e5-b485-4f95-8c03-0f4942ac2748||||||||16 Rue de ville d'Avray, 92310 Sèvres|Le marché d'à côté|0145340843||Supermarché|||||zaptom.pro@gmail.com||
655bdfa8e8fa052e13813b0e|d04e0103-d8a0-46aa-b7b4-7de1b44c4381||sylvetteengoguette@gmail.com||||||4 Rue du Centre, 92140 Clamart|Boutique cadeaux Concept store Sylvette en goguette|0628835994||Boutique de cadeaux||||||zaptom.pro@gmail.com|
655bdfa8e8fa052e13813b00|77d0941b-79ae-4192-a0f0-38031dd89dad||contact@restaurant-lemurat.com||||||131 Bd Murat, 75016 Paris|Restaurant Villa Murat|0146512668||Restaurant||||||zaptom.pro@gmail.com|
655bdfa8e8fa052e13813af4|217b1a9a-1445-45c1-b640-69c5caebf686|||||||1 Av. de la Division Leclerc, 92310 Sèvres|Franprix|0171547394|Supermarché|||||||zaptom.pro@gmail.com||
